frame.time_epoch	frame.len	eth.src	eth.dst	ip.src	ip.dst	tcp.srcport	tcp.dstport	udp.srcport	udp.dstport	icmp.type	icmp.code	arp.opcode	arp.src.hw_mac	arp.src.proto_ipv4	arp.dst.hw_mac	arp.dst.proto_ipv4	ipv6.src	ipv6.dst
1622635427.195633000	519	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54260	80											
1622635427.340213000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54261	80											
1622635427.460070000	519	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54262	80											
1622635427.595898000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54263	80											
1622635427.719617000	519	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54264	80											
1622635427.861067000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54265	80											
1622635427.976117000	514	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54266	80											
1622635428.145347000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54267	80											
1622635428.281016000	520	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54268	80											
1622635428.448230000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54269	80											
1622635428.563875000	520	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54270	80											
1622635428.712485000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54271	80											
1622635428.832412000	514	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54272	80											
1622635429.052892000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54274	80											
1622635429.181165000	520	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54275	80											
1622635429.405123000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54277	80											
1622635429.523824000	520	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54278	80											
1622635429.740278000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54280	80											
1622635429.868359000	520	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54281	80											
1622635430.104244000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54283	80											
1622635430.648341000	520	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54284	80											
1622635430.883741000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54286	80											
1622635431.012647000	520	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54287	80											
1622635431.232770000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54289	80											
1622635431.356312000	520	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54290	80											
1622635431.552292000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54292	80											
1622635431.665320000	528	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54293	80											
1622635431.808228000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54294	80											
1622635431.924826000	518	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54295	80											
1622635432.072410000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54296	80											
1622635432.204145000	522	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54297	80											
1622635432.331363000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54298	80											
1622635432.658525000	528	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54299	80											
1622635433.186090000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54300	80											
1622635433.305104000	528	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54301	80											
1622635433.428649000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54302	80											
1622635433.536802000	523	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54303	80											
1622635433.664925000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54304	80											
1622635433.790230000	531	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54305	80											
1622635434.312765000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54306	80											
1622635434.481481000	526	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54307	80											
1622635434.616437000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54308	80											
1622635434.736784000	522	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54309	80											
1622635434.864474000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54310	80											
1622635434.993859000	521	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54311	80											
1622635435.116325000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54312	80											
1622635435.257002000	521	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54313	80											
1622635435.389258000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54314	80											
1622635435.504591000	516	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54315	80											
1622635435.620871000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54316	80											
1622635435.970179000	520	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54317	80											
1622635436.077560000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54318	80											
1622635436.200954000	534	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54319	80											
1622635436.428474000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54321	80											
1622635436.550212000	534	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54322	80											
1622635436.668640000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54323	80											
1622635437.016903000	542	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54324	80											
1622635437.061269000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54325	80											
1622635437.176835000	517	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54326	80											
1622635437.321410000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54327	80											
1622635437.442615000	526	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54328	80											
1622635437.574489000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54329	80											
1622635437.713242000	610	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54330	80											
1622635437.756486000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54331	80											
1622635437.880840000	608	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54332	80											
1622635437.937055000	394	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54333	80											
1622635438.058053000	519	04:d4:c4:ae:ae:2c	70:5d:cc:da:13:9c	192.168.0.3	121.50.17.14	54334	80											
